Serial,SPoint,StRegion,Region,Country,RSex,RAge,PeopTrst,RNSSEC,REconAct,Tea,Tea2,HEdQual,HEdQual2,HHincome,UnionSA,TUSAEver,NghBrHd,ResPres,Voted01,PdJobSC,CharOft,CharAmt,PolitSC,GovRight,GovSelf,DemoNow,GrpMemb1,GrpMemb2,GrpMemb3,GrpMemb4,GrpMemb5,IncDiffs,IncDiff,IDCards,MoreWelf,SocHelp,DeathApp,WrongLaw,PartyId2,agegp1,agegp2,incomegp,incomeg1,trust,volgp,volgp1,qual1,qual2
160002,101,1,1,2,1,51,-2,13.4,3,1,15,5,6,6,3,1,51,3,1,1,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,4,2,3,3,4,2,2,1,1,,-1,-1,2,2
160003,101,1,1,2,2,57,-2,7.1,8,1,15,4,5,9,3,2,34,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,4,4,2,2,2,2,1,,-1,-1,2,2
160007,101,1,1,2,1,39,3,12.4,3,2,16,5,6,9,1,-3,39,3,2,1,-2,-2,4,5,1,0,4,2,4,1,4,1,1,2,3,2,3,4,5,1,1,2,1,0,0,0,2,2
160008,101,1,1,2,2,91,-2,13.3,9,1,14,7,8,2,3,3,8,3,1,9,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,9,9,9,9,1,2,3,1,1,,-1,-1,2,2
160011,101,1,1,2,1,45,-2,12.4,3,2,16,3,4,12,3,1,15,3,1,1,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,3,4,1,2,2,1,2,2,2,,-1,-1,1,2
160012,101,1,1,2,2,57,-2,13.2,10,1,15,7,8,3,3,1,58,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,2,8,2,2,1,1,,-1,-1,2,2
160013,101,1,1,2,2,67,3,7.1,9,1,15,5,6,3,3,1,28,3,1,2,-2,-2,3,3,2,5,4,3,3,4,3,2,3,2,4,2,2,3,2,2,3,1,1,0,1,0,2,2
160014,101,1,1,2,1,45,-2,4.1,3,2,16,7,8,5,1,-3,32,3,2,1,6,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,2,2,3,4,5,1,2,1,1,,-1,-1,2,2
160015,101,1,1,2,1,82,-2,12.4,9,1,14,7,8,4,3,1,77,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,4,3,2,2,3,1,1,,-1,-1,2,2
160016,101,1,1,2,2,26,2,12.4,3,3,17,4,5,12,1,-3,26,3,1,1,-2,-2,4,4,2,7,4,2,3,1,4,2,2,2,2,4,2,4,5,1,1,2,2,1,0,0,2,2
160017,101,1,1,2,2,33,-2,7.2,10,2,16,7,8,4,3,3,20,3,1,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,3,4,4,2,1,1,1,1,,-1,-1,2,2
160019,101,1,1,2,2,60,4,13.3,9,1,15,5,6,2,3,1,60,3,1,2,-2,-2,2,3,3,2,4,4,4,4,4,2,2,1,2,4,2,2,4,2,3,1,1,0,0,0,2,2
160020,101,1,1,2,2,56,-2,12.4,8,1,15,7,8,2,3,1,32,3,2,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,4,3,2,3,5,2,2,1,1,,-1,-1,2,2
160021,101,1,1,2,2,58,-2,12.2,8,2,16,4,5,3,3,1,58,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,4,3,2,2,2,1,1,,-1,-1,2,2
160022,101,1,1,2,2,76,3,7.1,9,1,15,5,6,8,3,1,50,3,1,2,-2,-2,2,4,4,7,4,3,3,1,3,1,1,1,4,2,1,4,4,2,3,1,1,0,1,0,2,2
160023,101,1,1,2,2,63,-2,10,9,1,15,7,8,8,3,1,20,3,2,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,3,3,3,4,5,2,3,1,1,,-1,-1,2,2
160025,101,1,1,2,2,62,3,11.2,9,1,15,4,5,6,3,1,37,3,1,2,-2,-2,2,5,4,9,2,3,2,3,4,2,2,3,2,5,1,5,2,2,3,1,1,0,0,0,2,2
160026,101,1,1,2,2,77,-2,12.2,9,1,14,7,8,2,3,1,9,3,1,2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,3,3,1,4,2,3,1,1,,-1,-1,2,2
160028,101,1,1,2,2,37,3,9.1,3,2,16,4,5,16,3,1,37,3,2,1,-2,-2,4,4,2,98,4,3,2,4,4,3,5,2,2,2,4,2,1,1,1,2,2,0,0,0,2,2
160030,101,1,1,2,1,20,-2,3.1,3,5,20,2,3,98,3,3,8,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,3,3,8,1,1,,,,-1,-1,1,1
160031,101,1,1,2,2,38,2,5,3,3,17,3,4,14,3,2,30,3,1,1,-2,-2,4,2,4,7,4,3,4,4,4,3,4,2,2,3,2,1,2,1,1,2,2,1,0,0,1,2
160032,102,1,1,2,1,80,-2,4.2,9,5,23,1,2,6,3,3,27,2,1,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,-2,2,4,2,2,1,2,3,1,1,,-1,-1,1,1
160037,102,1,1,2,1,53,3,13.3,3,1,15,7,8,6,3,1,25,2,2,1,-2,-2,3,4,2,98,4,3,4,2,4,2,3,3,4,2,2,3,2,2,2,1,1,0,0,0,2,2
160038,102,1,1,2,2,37,-2,4.1,1,2,16,1,2,11,1,-3,2,3,1,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,4,4,4,3,1,1,2,1,,-1,-1,1,1
160040,102,1,1,2,2,46,2,7.1,3,2,16,2,3,13,3,1,30,3,1,1,-2,-2,2,3,2,8,4,3,4,3,3,2,2,3,4,2,2,4,2,2,2,2,2,1,1,0,1,1
160041,102,1,1,2,2,30,-1,4.1,3,3,17,3,4,6,3,3,30,3,1,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,,-1,-1,1,2
160042,102,1,1,2,2,70,-2,12.6,9,2,16,7,8,4,3,1,43,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,2,2,2,3,1,1,,-1,-1,2,2
160044,102,1,1,2,2,53,-2,4.1,3,5,20,2,3,11,1,-3,21,3,1,1,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,4,2,2,4,4,2,2,2,1,,-1,-1,1,1
160045,102,1,1,2,2,58,-2,7.1,3,1,15,5,6,8,1,-3,42,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,4,2,2,2,1,1,,-1,-1,2,2
160047,102,1,1,2,2,65,-2,7.3,9,1,15,7,8,2,3,1,13,3,1,2,4,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,2,4,4,8,2,3,1,1,,-1,-1,2,2
160050,102,1,1,2,2,40,-2,12.1,3,2,16,5,6,6,3,3,4,2,1,1,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,4,3,2,2,1,2,1,1,,-1,-1,2,2
160053,102,1,1,2,2,29,-2,4.1,3,5,20,1,2,11,1,-3,5,3,1,1,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,4,4,3,8,1,1,2,1,,-1,-1,1,1
160055,102,1,1,2,2,63,3,4.1,9,2,16,5,6,9,3,1,32,2,1,2,-2,-2,2,4,2,3,9,3,3,3,4,2,2,4,2,4,4,4,4,2,3,2,1,0,0,0,2,2
160057,102,1,1,2,1,44,-2,4.1,3,2,16,1,2,98,3,1,15,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,5,5,4,4,1,2,,,,-1,-1,1,1
160058,102,1,1,2,1,55,3,13.3,8,1,15,5,6,2,3,1,22,3,1,2,-2,-2,2,3,3,6,4,3,3,3,3,3,2,3,3,3,2,4,2,2,2,1,1,0,1,0,2,2
160059,102,1,1,2,1,76,-1,13.3,9,1,14,5,6,3,3,1,30,3,2,-1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,1,1,,-1,-1,2,2
160061,102,1,1,2,1,44,2,7.4,3,3,17,3,4,14,1,-3,15,3,1,1,-2,-2,2,2,3,8,4,2,3,1,9,2,2,1,2,3,1,2,2,1,2,2,2,1,0,0,1,2
160063,103,1,1,2,2,52,-1,4.1,3,5,19,2,3,9,1,-3,10,2,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,2,2,1,,-1,-1,1,1
160064,103,1,1,2,2,60,2,12.6,10,1,15,7,8,2,3,3,36,2,1,2,-2,-2,3,4,3,7,4,4,2,3,4,2,3,2,2,3,2,3,1,2,3,1,1,1,0,0,2,2
160065,103,1,1,2,2,73,-2,10,9,1,14,7,8,2,3,1,73,2,1,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,9,9,9,9,2,2,3,1,1,,-1,-1,2,2
160068,103,1,1,2,2,29,-2,12.2,7,2,16,4,5,3,3,3,29,2,1,2,5,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,3,4,4,2,2,1,1,1,1,,-1,-1,2,2
160069,103,1,1,2,2,33,-2,10,10,2,16,7,8,8,3,3,3,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,4,3,2,1,1,1,1,,-1,-1,2,2
160071,103,1,1,2,2,47,-2,10,10,1,15,4,5,3,3,3,11,2,1,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,2,4,4,2,4,2,2,1,1,,-1,-1,2,2
160072,103,1,1,2,1,38,-1,10,3,2,16,4,5,10,3,1,10,2,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,2,1,,-1,-1,2,2
160075,103,1,1,2,2,47,-2,10,3,2,16,4,5,9,3,1,36,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,2,2,2,2,2,2,1,,-1,-1,2,2
160076,103,1,1,2,2,74,3,13.4,9,1,14,5,6,3,3,3,40,2,1,2,-2,-2,3,8,8,98,4,4,1,4,4,2,2,3,3,4,4,3,2,2,3,1,1,0,0,0,2,2
160078,103,1,1,2,2,69,-2,13.4,9,1,15,7,8,4,3,1,33,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,1,3,2,2,3,1,1,,-1,-1,2,2
160079,103,1,1,2,2,75,2,7.3,9,1,14,7,8,3,3,1,50,2,1,2,-2,-2,2,3,3,10,4,3,2,3,3,2,2,2,2,3,3,3,2,2,3,1,1,1,1,0,2,2
160082,103,1,1,2,2,34,3,11.1,3,4,18,3,4,14,3,1,3,2,1,1,-2,-2,3,2,2,7,4,3,4,4,4,4,4,2,5,1,1,2,2,1,1,2,2,0,0,0,1,2
160084,103,1,1,2,2,44,-2,6,8,2,16,2,3,6,3,1,20,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,4,3,8,1,2,1,1,,-1,-1,1,1
160087,103,1,1,2,2,37,-2,12.2,10,2,16,7,8,3,3,1,37,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,1,4,2,1,1,1,1,,-1,-1,2,2
160088,103,1,1,2,2,48,3,12.2,3,1,15,4,5,7,3,1,27,2,1,1,-2,-2,3,4,2,6,4,3,2,2,3,2,2,5,4,2,3,3,4,2,2,1,1,0,1,0,2,2
160089,103,1,1,2,2,20,-2,12.2,1,7,96,6,7,2,3,3,0,2,2,1,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,4,3,5,1,1,1,1,,-1,-1,2,2
160090,103,1,1,2,2,31,-2,12.1,2,2,16,6,7,2,3,3,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,5,3,5,1,1,1,1,,-1,-1,2,2
160091,103,1,1,2,2,37,3,12.2,3,2,16,4,5,3,3,1,4,2,2,1,-2,-2,4,3,3,5,4,3,3,3,4,1,2,4,4,2,4,2,5,1,1,1,1,0,0,0,2,2
160092,103,1,1,2,1,19,-2,-1,1,7,96,3,4,98,-1,-1,5,2,2,2,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,2,2,3,4,2,1,1,,,,-1,-1,1,2
160093,103,1,1,2,1,44,-2,10,3,2,16,4,5,8,3,1,25,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3,5,1,2,1,1,,-1,-1,2,2
160095,104,1,1,2,2,44,-2,4.1,3,2,16,3,4,12,1,-3,3,2,1,1,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,9,-2,9,9,1,9,3,1,2,2,2,,-1,-1,1,2
160096,104,1,1,2,2,65,-2,12.6,9,1,15,5,6,3,3,1,36,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,4,2,3,1,1,,-1,-1,2,2
160097,104,1,1,2,2,67,2,12.2,9,1,15,7,8,4,3,3,44,2,1,2,-2,-2,3,2,1,98,4,4,1,1,4,2,2,3,1,1,3,1,8,2,3,1,1,1,0,0,2,2
160098,104,1,1,2,1,32,-2,3.2,3,5,21,1,2,11,1,-3,32,3,1,1,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5,-2,5,4,1,2,2,1,1,2,1,,-1,-1,1,1
160100,104,1,1,2,1,55,-1,8.1,3,2,16,1,1,10,3,1,30,3,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,,-1,-1,1,1
160101,104,1,1,2,2,39,-2,13.4,3,2,16,4,5,13,1,-3,6,2,1,1,5,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,3,3,2,2,1,1,2,2,,-1,-1,2,2
160103,104,1,1,2,2,69,3,4.1,9,4,18,2,3,5,3,2,35,3,1,2,-2,-2,1,2,3,9,4,3,1,1,3,2,2,3,3,4,4,3,2,2,3,1,1,0,1,0,1,1
160106,104,1,1,2,1,78,3,6,9,1,14,6,7,4,1,-3,40,2,1,2,-2,-2,3,3,2,5,3,3,1,3,4,3,3,2,3,3,3,3,1,2,3,1,1,0,0,0,2,2
160109,104,1,1,2,1,64,3,12.4,3,1,15,7,8,11,3,1,37,2,1,1,-2,-2,2,2,1,8,4,3,3,4,4,1,5,1,1,1,1,4,2,2,3,2,1,0,0,0,2,2
160112,104,1,1,2,1,83,2,10,9,1,14,7,8,4,3,1,45,2,1,2,-2,-2,2,2,2,5,9,9,9,9,9,2,2,2,2,4,2,2,2,2,3,1,1,1,0,0,2,2
160113,104,1,1,2,2,77,-2,10,9,1,14,4,5,5,3,3,43,2,1,2,6,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,-2,4,4,4,4,2,2,3,1,1,,-1,-1,2,2
160114,104,1,1,2,1,67,-2,10,9,1,15,5,6,2,3,1,42,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,4,3,2,3,1,1,,-1,-1,2,2
160115,104,1,1,2,2,55,2,10,7,1,15,7,8,4,3,1,16,2,1,2,-2,-2,1,4,1,98,4,3,3,3,8,3,9,1,4,2,1,4,1,2,2,1,1,1,0,0,2,2
160116,104,1,1,2,1,77,-2,3.3,9,1,15,4,5,3,3,1,31,2,1,2,5,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,3,2,2,1,2,3,1,1,,-1,-1,2,2
160120,104,1,1,2,2,43,-2,9.1,3,4,18,3,4,6,3,3,4,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,2,1,2,1,1,,-1,-1,1,2
160121,104,1,1,2,1,26,-1,6,3,5,19,3,4,8,1,-3,1,2,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,1,,-1,-1,1,2
160122,104,1,1,2,1,64,-1,7.3,8,1,15,2,3,14,3,3,30,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,2,,-1,-1,1,1
160123,104,1,1,2,1,53,-1,4.1,3,3,17,3,4,15,1,-3,27,3,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,,-1,-1,1,2
160126,105,1,1,2,2,66,-1,13.2,9,1,14,7,8,3,3,1,30,2,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,1,,-1,-1,2,2
160129,105,1,1,2,2,28,-2,12.3,10,2,16,5,6,1,3,1,28,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5,1,4,4,1,1,1,1,,-1,-1,2,2
160131,105,1,1,2,2,30,-1,13.4,10,4,18,3,4,2,3,3,2,3,1,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,,-1,-1,1,2
160136,105,1,1,2,2,61,2,12.4,9,1,15,7,8,97,3,3,30,2,1,9,-2,-2,2,5,5,2,4,3,4,3,4,1,1,5,4,4,1,4,2,2,3,,,1,0,0,2,2
160137,105,1,1,2,1,44,-2,13.3,8,1,15,7,8,3,1,-3,44,2,2,2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,1,2,3,2,5,1,2,1,1,,-1,-1,2,2
160138,105,1,1,2,2,32,-2,6,3,4,18,3,4,16,1,-3,5,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,2,3,2,1,1,2,2,,-1,-1,1,2
160139,105,1,1,2,1,44,-1,10,3,2,16,4,5,14,1,-3,8,2,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,,-1,-1,2,2
160140,105,1,1,2,1,69,-2,11.1,9,1,14,7,8,3,3,1,69,2,1,2,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2,2,2,1,3,2,2,3,1,1,,-1,-1,2,2
160141,105,1,1,2,1,36,-2,12.2,8,2,16,7,8,3,3,3,36,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,5,1,2,1,1,1,1,,-1,-1,2,2
160144,105,1,1,2,1,54,-2,12.1,8,4,18,5,6,1,3,3,0,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,3,2,2,2,1,1,,-1,-1,2,2
160145,105,1,1,2,1,63,2,11.1,3,1,15,2,3,10,1,-3,63,2,1,1,-2,-2,2,2,4,7,4,1,2,1,4,1,1,3,1,4,4,2,2,2,3,2,1,1,0,0,1,1
160146,105,1,1,2,2,49,-2,12.2,3,1,15,2,3,13,1,-3,49,2,1,1,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,4,1,4,2,2,2,2,2,,-1,-1,1,1
160150,105,1,1,2,2,43,-2,12.1,3,2,16,4,5,6,1,-3,43,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,2,3,8,1,2,1,1,,-1,-1,2,2
160155,105,1,1,2,2,33,-1,6,3,2,16,4,5,10,3,3,3,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,2,1,,-1,-1,2,2
160157,106,1,1,2,1,72,-1,6,9,1,14,5,6,5,3,1,45,2,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,1,,-1,-1,2,2
160159,106,1,1,2,1,62,-2,12.2,9,1,15,5,6,8,1,-3,12,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,4,4,8,2,3,1,1,,-1,-1,2,2
160160,106,1,1,2,1,46,3,5,5,5,21,3,4,7,3,2,10,2,1,2,-2,-2,3,5,1,1,4,3,4,3,4,2,5,3,4,4,4,4,5,2,2,1,1,0,0,0,1,2
160162,106,1,1,2,1,30,-1,12.4,3,2,16,5,6,12,1,-3,5,3,2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,2,2,,-1,-1,2,2
160163,106,1,1,2,1,58,3,10,9,1,15,4,5,8,3,1,29,2,1,2,-2,-2,2,4,2,8,3,3,2,1,3,3,4,2,4,3,1,3,1,2,2,1,1,0,1,0,2,2
160165,106,1,1,2,1,28,-2,12.2,3,5,25,1,2,98,3,3,10,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,5,4,4,1,1,,,,-1,-1,1,1
160166,106,1,1,2,2,31,2,12.1,5,2,16,1,2,2,3,3,31,2,1,2,-2,-2,3,3,3,98,4,4,4,4,4,2,2,2,3,3,2,2,2,1,1,1,1,1,0,0,1,1
160167,106,1,1,2,1,33,-2,3.1,3,5,27,1,2,13,1,-3,2,2,1,1,5,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,4,4,2,3,2,1,1,2,2,,-1,-1,1,1
160168,106,1,1,2,1,61,-2,11.1,8,1,15,7,8,6,3,1,23,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,5,4,4,4,2,3,1,1,,-1,-1,2,2
160172,106,1,1,2,2,82,3,3.1,9,1,14,4,5,3,3,3,38,2,1,2,-2,-2,2,5,2,98,4,3,1,1,4,9,9,2,2,2,2,4,2,2,3,1,1,0,0,0,2,2
160173,106,1,1,2,1,52,-2,9.1,3,1,15,7,8,10,3,1,27,2,1,1,5,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,4,4,3,2,2,2,2,1,,-1,-1,2,2
160174,106,1,1,2,2,36,-2,10,3,1,15,7,8,4,3,1,36,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,9,9,2,1,1,1,1,,-1,-1,2,2
160175,106,1,1,2,2,41,2,13.4,8,2,16,7,8,2,3,3,4,2,1,2,-2,-2,4,4,3,98,4,4,3,4,4,2,8,2,3,2,1,4,4,1,2,1,1,1,0,0,2,2
160176,106,1,1,2,1,32,-1,4.1,3,3,17,3,4,13,3,3,0,2,1,-1,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,,-1,-1,1,2
160177,106,1,1,2,1,75,-2,9.1,9,1,14,5,6,3,3,1,37,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,4,2,2,3,1,1,,-1,-1,2,2
160182,106,1,1,2,2,63,-2,12.6,10,1,15,5,6,7,3,3,38,2,1,2,6,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,3,3,3,3,3,2,3,1,1,,-1,-1,2,2
160183,106,1,1,2,2,62,-2,4.1,9,1,15,7,8,8,3,1,38,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,4,4,3,2,2,3,1,1,,-1,-1,2,2
160184,106,1,1,2,2,28,3,13.1,8,1,15,7,8,3,3,3,7,2,2,2,-2,-2,4,5,1,2,4,4,4,4,4,1,1,5,1,5,1,4,5,1,1,1,1,0,0,0,2,2
160185,106,1,1,2,2,44,-2,4.1,8,2,16,5,6,2,3,3,22,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,8,-2,3,3,3,2,5,1,2,1,1,,-1,-1,2,2
160186,106,1,1,2,1,30,-2,4.1,3,5,19,2,3,6,3,3,2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,4,4,3,2,1,1,1,1,,-1,-1,1,1
160188,107,1,1,2,2,77,-2,13.4,9,1,15,7,8,97,3,1,54,3,1,2,4,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,9,9,4,4,1,2,3,,,,-1,-1,2,2
160189,107,1,1,2,2,53,-2,10,8,1,15,7,8,10,3,3,53,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,3,1,2,2,2,2,1,,-1,-1,2,2
160192,107,1,1,2,2,77,-1,7.1,9,1,14,5,6,3,3,3,48,3,1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,1,1,,-1,-1,2,2
160193,107,1,1,2,1,46,3,12.4,8,2,16,7,8,97,3,1,46,3,1,2,-2,-2,4,5,1,3,4,8,4,3,8,1,1,2,9,9,9,9,2,2,2,,,0,0,0,2,2
160194,107,1,1,2,2,67,-2,10,9,1,15,7,8,98,3,1,15,3,1,2,3,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,2,3,1,2,2,3,,,,-1,-1,2,2
160196,107,1,1,2,2,58,2,4.1,3,1,15,7,8,9,1,-3,47,3,1,1,-2,-2,2,2,4,5,4,2,1,4,1,1,1,3,2,5,5,2,2,2,2,2,1,1,1,1,2,2
160197,107,1,1,2,1,67,-2,4.1,9,2,16,2,3,10,3,1,36,3,1,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,4,3,2,4,4,2,3,2,1,,-1,-1,1,1
160198,107,1,1,2,2,72,-2,12.1,9,1,15,4,5,9,3,3,72,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,2,2,2,3,2,1,,-1,-1,2,2
160201,107,1,1,2,1,72,-2,13.3,9,1,14,7,8,17,3,1,23,3,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,3,2,2,,-1,-1,2,2
160203,107,1,1,2,1,71,-2,7.3,9,4,18,3,4,10,3,1,15,4,1,2,6,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,5,-2,3,3,2,2,1,2,3,2,1,,-1,-1,1,2
160206,107,1,1,2,2,68,-2,4.1,9,5,20,1,2,97,3,1,2,5,1,2,3,9,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,2,3,5,4,5,2,3,,,,-1,-1,1,1
160207,107,1,1,2,1,20,-2,12.5,3,7,96,2,3,98,3,3,14,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,3,3,5,1,1,,,,-1,-1,1,1
160208,107,1,1,2,1,79,2,13.3,9,1,14,5,6,4,3,3,52,4,1,2,-2,-2,4,2,2,4,4,4,4,4,4,2,2,2,2,3,2,2,4,2,3,1,1,1,0,0,2,2
